Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_255,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_256,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_257,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_258,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_259,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_260,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_261,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_262,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_263,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_264,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_265,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_266,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_267,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_268,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_269,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_270,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_271,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_272,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_273,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_274,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_275,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_276,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_277,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_278,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_279,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_280,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_281,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_282,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_283,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_284,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_285,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_286,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_287,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_288,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_289,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_290,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_291,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_292,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_293,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_294,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_295,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_296,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_297,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_298,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_299,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_300,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_301,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_302,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_303,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_304,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_305,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_306,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_307,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_308,same as above,,
